MUN_PROV,MUN_CODI,MUN_INE,MUN_DIGIT,MUN_NOM,MUN_NOM2,MUN_NOM3,MUN_NOM2_PART,MUN_BAIXA,MUN_DATA_ACT
8.0000000000000000e+00,1.8700000000000000e+02,"08187",,"SABADELL","Sabadell","Sabadell",,,
8.0000000000000000e+00,1.8800000000000000e+02,"08188",,"SAGAS","Sagàs","Sagàs",,,
8.0000000000000000e+00,1.8900000000000000e+02,"08189",,"SANT PERE SALLAVINERA","Sant Pere Sallavinera","Sant Pere Sallavinera",,,
8.0000000000000000e+00,1.9000000000000000e+02,"08190",,"SALDES","Saldes","Saldes",,,
8.0000000000000000e+00,1.9100000000000000e+02,"08191",,"SALLENT","Sallent","Sallent",,,
8.0000000000000000e+00,1.9200000000000000e+02,"08192",,"SANTPEDOR","Santpedor","Santpedor",,,
8.0000000000000000e+00,1.9300000000000000e+02,"08193",,"SANT ISCLE DE VALLALTA","Sant Iscle de Vallalta","Sant Iscle de Vallalta",,,
8.0000000000000000e+00,1.9400000000000000e+02,"08194",,"SANT ADRIA DE BESOS","Sant Adrià de Besòs","Sant Adrià de Besòs",,,
8.0000000000000000e+00,1.9500000000000000e+02,"08195",,"SANT AGUSTI DE LLUÇANES","Sant Agustí de Lluçanès","Sant Agustí de Lluçanès",,,
8.0000000000000000e+00,1.9600000000000000e+02,"08196",,"SANT ANDREU DE LA BARCA","Sant Andreu de la Barca","Sant Andreu de la Barca",,,
8.0000000000000000e+00,1.9700000000000000e+02,"08197",,"SANT ANDREU DE LLAVANERES","Sant Andreu de Llavaneres","Sant Andreu de Llavaneres",,,
8.0000000000000000e+00,1.9800000000000000e+02,"08198",,"SANT ANTONI DE VILAMAJOR","Sant Antoni de Vilamajor","Sant Antoni de Vilamajor",,,
8.0000000000000000e+00,1.9900000000000000e+02,"08199",,"SANT BARTOMEU DEL GRAU","Sant Bartomeu del Grau","Sant Bartomeu del Grau",,,
8.0000000000000000e+00,2.0000000000000000e+02,"08200",,"SANT BOI DE LLOBREGAT","Sant Boi de Llobregat","Sant Boi de Llobregat",,,
8.0000000000000000e+00,2.0100000000000000e+02,"08201",,"SANT BOI DE LLUÇANES","Sant Boi de Lluçanès","Sant Boi de Lluçanès",,,
8.0000000000000000e+00,2.0200000000000000e+02,"08202",,"SANT CELONI","Sant Celoni","Sant Celoni",,,
8.0000000000000000e+00,2.0300000000000000e+02,"08203",,"SANT CEBRIA DE VALLALTA","Sant Cebrià de Vallalta","Sant Cebrià de Vallalta",,,
8.0000000000000000e+00,2.0400000000000000e+02,"08204",,"SANT CLIMENT DE LLOBREGAT","Sant Climent de Llobregat","Sant Climent de Llobregat",,,
8.0000000000000000e+00,2.0500000000000000e+02,"08205",,"SANT CUGAT DEL VALLES","Sant Cugat del Vallès","Sant Cugat del Vallès",,,
8.0000000000000000e+00,2.0600000000000000e+02,"08206",,"SANT CUGAT SESGARRIGUES","Sant Cugat Sesgarrigues","Sant Cugat Sesgarrigues",,,
8.0000000000000000e+00,2.0700000000000000e+02,"08207",,"SANT ESTEVE DE PALAUTORDERA","Sant Esteve de Palautordera","Sant Esteve de Palautordera",,,
8.0000000000000000e+00,2.0800000000000000e+02,"08208",,"SANT ESTEVE SESROVIRES","Sant Esteve Sesrovires","Sant Esteve Sesrovires",,,
8.0000000000000000e+00,2.0900000000000000e+02,"08209",,"SANT FOST DE CAMPSENTELLES","Sant Fost de Campsentelles","Sant Fost de Campsentelles",,,
8.0000000000000000e+00,2.1000000000000000e+02,"08210",,"SANT FELIU DE CODINES","Sant Feliu de Codines","Sant Feliu de Codines",,,
8.0000000000000000e+00,2.1100000000000000e+02,"08211",,"SANT FELIU DE LLOBREGAT","Sant Feliu de Llobregat","Sant Feliu de Llobregat",,,
8.0000000000000000e+00,2.1200000000000000e+02,"08212",,"SANT FELIU SASSERRA","Sant Feliu Sasserra","Sant Feliu Sasserra",,,
8.0000000000000000e+00,2.1300000000000000e+02,"08213",,"SANT FRUITOS DE BAGES","Sant Fruitós de Bages","Sant Fruitós de Bages",,,
8.0000000000000000e+00,2.1400000000000000e+02,"08214",,"VILASSAR DE DALT","Vilassar de Dalt","Vilassar de Dalt",,,
8.0000000000000000e+00,2.1500000000000000e+02,"08215",,"SANT HIPOLIT DE VOLTREGA","Sant Hipòlit de Voltregà","Sant Hipòlit de Voltregà",,,
8.0000000000000000e+00,2.1600000000000000e+02,"08216",,"SANT JAUME DE FRONTANYA","Sant Jaume de Frontanyà","Sant Jaume de Frontanyà",,,
8.0000000000000000e+00,2.1700000000000000e+02,"08217",,"SANT JOAN DESPI","Sant Joan Despí","Sant Joan Despí",,,
8.0000000000000000e+00,2.1800000000000000e+02,"08218",,"SANT JOAN DE VILATORRADA","Sant Joan de Vilatorrada","Sant Joan de Vilatorrada",,,
8.0000000000000000e+00,2.1900000000000000e+02,"08219",,"VILASSAR DE MAR","Vilassar de Mar","Vilassar de Mar",,,
8.0000000000000000e+00,2.2000000000000000e+02,"08220",,"SANT JULIA DE VILATORTA","Sant Julià de Vilatorta","Sant Julià de Vilatorta",,,
8.0000000000000000e+00,2.2100000000000000e+02,"08221",,"SANT JUST DESVERN","Sant Just Desvern","Sant Just Desvern",,,
8.0000000000000000e+00,2.2200000000000000e+02,"08222",,"SANT LLORENÇ D'HORTONS","Sant Llorenç d'Hortons","Sant Llorenç d'Hortons",,,
8.0000000000000000e+00,2.2300000000000000e+02,"08223",,"SANT LLORENÇ SAVALL","Sant Llorenç Savall","Sant Llorenç Savall",,,
8.0000000000000000e+00,2.2400000000000000e+02,"08224",,"SANT MARTI DE CENTELLES","Sant Martí de Centelles","Sant Martí de Centelles",,,
8.0000000000000000e+00,2.2500000000000000e+02,"08225",,"SANT MARTI D'ALBARS","Sant Martí d'Albars","Sant Martí d'Albars",,,
8.0000000000000000e+00,2.2600000000000000e+02,"08226",,"SANT MARTI DE TOUS","Sant Martí de Tous","Sant Martí de Tous",,,
8.0000000000000000e+00,2.2700000000000000e+02,"08227",,"SANT MARTI SARROCA","Sant Martí Sarroca","Sant Martí Sarroca",,,
8.0000000000000000e+00,2.2800000000000000e+02,"08228",,"SANT MARTI SESGUEIOLES","Sant Martí Sesgueioles","Sant Martí Sesgueioles",,,
8.0000000000000000e+00,2.2900000000000000e+02,"08229",,"SANT MATEU DE BAGES","Sant Mateu de Bages","Sant Mateu de Bages",,,
8.0000000000000000e+00,2.3000000000000000e+02,"08230",,"PREMIA DE DALT","Premià de Dalt","Premià de Dalt",,,
8.0000000000000000e+00,2.3100000000000000e+02,"08231",,"SANT PERE DE RIBES","Sant Pere de Ribes","Sant Pere de Ribes",,,
8.0000000000000000e+00,2.3200000000000000e+02,"08232",,"SANT PERE DE RIUDEBITLLES","Sant Pere de Riudebitlles","Sant Pere de Riudebitlles",,,
8.0000000000000000e+00,2.3300000000000000e+02,"08233",,"SANT PERE DE TORELLO","Sant Pere de Torelló","Sant Pere de Torelló",,,
